precision,recall,f1_score
0.6,0.6,0.6
0.8333333333333334,0.8333333333333334,0.8333333333333334
0.4166666666666667,0.5555555555555556,0.4761904761904762
0.6363636363636364,0.6363636363636364,0.6363636363636364
0.4444444444444444,0.5,0.47058823529411764
0.5,0.5,0.5
0.3,0.375,0.33333333333333326
0.7,0.7,0.7
0.3333333333333333,0.375,0.35294117647058826
0.45454545454545453,0.5555555555555556,0.5
0.4,0.4,0.4000000000000001
0.4,0.4,0.4000000000000001
0.5555555555555556,0.5555555555555556,0.5555555555555556
0.6,0.6,0.6
0.6666666666666666,0.6666666666666666,0.6666666666666666
0.6,0.6,0.6
0.3,0.3,0.3
0.7,0.7,0.7
0.5555555555555556,0.5555555555555556,0.5555555555555556
0.5,0.5,0.5
0.5,0.5,0.5
0.36363636363636365,0.4,0.380952380952381
0.4444444444444444,0.4444444444444444,0.4444444444444444
0.5,0.5,0.5
0.6,0.6,0.6
0.5,0.6,0.5454545454545454
0.4,0.4444444444444444,0.4210526315789474
0.6363636363636364,0.7,0.6666666666666666
0.6,0.6,0.6
0.6666666666666666,0.6666666666666666,0.6666666666666666
0.7,0.7,0.7
0.75,0.75,0.75
0.2,0.2,0.20000000000000004
0.5454545454545454,0.5454545454545454,0.5454545454545454
0.5,0.5,0.5
0.4444444444444444,0.5,0.47058823529411764
0.6,0.6666666666666666,0.631578947368421
0.46153846153846156,0.46153846153846156,0.46153846153846156
0.4166666666666667,0.4166666666666667,0.4166666666666667
0.4,0.4,0.4000000000000001
0.6666666666666666,0.6666666666666666,0.6666666666666666
0.25,0.2727272727272727,0.2608695652173913
0.36363636363636365,0.36363636363636365,0.36363636363636365
0.5454545454545454,0.5454545454545454,0.5454545454545454
0.5555555555555556,0.5555555555555556,0.5555555555555556
0.4,0.4,0.4000000000000001
0.5,0.5,0.5
0.6,0.6,0.6
0.4,0.4,0.4000000000000001
0.5,0.5,0.5
0.5,0.5454545454545454,0.5217391304347826
0.5384615384615384,0.5833333333333334,0.5599999999999999
0.6153846153846154,0.6666666666666666,0.64
0.36363636363636365,0.36363636363636365,0.36363636363636365
0.45454545454545453,0.45454545454545453,0.45454545454545453
0.38461538461538464,0.38461538461538464,0.38461538461538464
0.45454545454545453,0.45454545454545453,0.45454545454545453
0.6363636363636364,0.6363636363636364,0.6363636363636364
0.6363636363636364,0.5833333333333334,0.6086956521739131
0.3,0.3,0.3
0.5,0.5,0.5
0.5384615384615384,0.5384615384615384,0.5384615384615384
0.36363636363636365,0.4444444444444444,0.39999999999999997
0.5,0.5,0.5
0.5,0.5,0.5
0.6363636363636364,0.7,0.6666666666666666
0.46153846153846156,0.46153846153846156,0.46153846153846156
0.45454545454545453,0.5,0.47619047619047616
0.5,0.5,0.5
0.5833333333333334,0.5833333333333334,0.5833333333333334
0.3076923076923077,0.3076923076923077,0.3076923076923077
0.5833333333333334,0.5833333333333334,0.5833333333333334
0.2727272727272727,0.3,0.28571428571428564
0.5,0.5,0.5
0.4,0.4,0.4000000000000001
0.75,0.75,0.75
0.6153846153846154,0.6666666666666666,0.64
0.4,0.4,0.4000000000000001
0.5,0.5,0.5
0.4166666666666667,0.4166666666666667,0.4166666666666667
0.25,0.2727272727272727,0.2608695652173913
0.36363636363636365,0.36363636363636365,0.36363636363636365
0.4166666666666667,0.4166666666666667,0.4166666666666667
0.4166666666666667,0.4166666666666667,0.4166666666666667
0.6923076923076923,0.75,0.7199999999999999
0.6666666666666666,0.7272727272727273,0.6956521739130435
0.5454545454545454,0.5454545454545454,0.5454545454545454
0.3333333333333333,0.3333333333333333,0.3333333333333333
0.5833333333333334,0.5833333333333334,0.5833333333333334
0.5833333333333334,0.6363636363636364,0.6086956521739131
0.5454545454545454,0.6,0.5714285714285713
0.23076923076923078,0.25,0.24000000000000002
0.5384615384615384,0.5384615384615384,0.5384615384615384
0.5,0.5454545454545454,0.5217391304347826
0.4166666666666667,0.4166666666666667,0.4166666666666667
0.4666666666666667,0.5384615384615384,0.5
0.3,0.3,0.3
0.6363636363636364,0.6363636363636364,0.6363636363636364
0.5384615384615384,0.5833333333333334,0.5599999999999999
0.4,0.4,0.4000000000000001
0.5384615384615384,0.5384615384615384,0.5384615384615384
0.38461538461538464,0.38461538461538464,0.38461538461538464
0.6666666666666666,0.6666666666666666,0.6666666666666666
0.5,0.5384615384615384,0.5185185185185186
0.5,0.5,0.5
0.45454545454545453,0.5,0.47619047619047616
0.6666666666666666,0.6666666666666666,0.6666666666666666
0.6153846153846154,0.6153846153846154,0.6153846153846154
0.5,0.5,0.5
0.5,0.5,0.5
0.4166666666666667,0.45454545454545453,0.43478260869565216
0.5714285714285714,0.5714285714285714,0.5714285714285714
0.3333333333333333,0.4,0.3636363636363636
0.625,0.625,0.625
0.6923076923076923,0.75,0.7199999999999999
0.4,0.42857142857142855,0.4137931034482759
0.6153846153846154,0.7272727272727273,0.6666666666666667
0.5833333333333334,0.5833333333333334,0.5833333333333334
0.42857142857142855,0.46153846153846156,0.4444444444444445
0.3076923076923077,0.3076923076923077,0.3076923076923077
0.3333333333333333,0.36363636363636365,0.34782608695652173
0.5384615384615384,0.5833333333333334,0.5599999999999999
0.3333333333333333,0.36363636363636365,0.34782608695652173
0.5384615384615384,0.5384615384615384,0.5384615384615384
0.4166666666666667,0.4166666666666667,0.4166666666666667
0.46153846153846156,0.5,0.48000000000000004
0.5833333333333334,0.5833333333333334,0.5833333333333334
0.5625,0.5625,0.5625
0.5,0.5,0.5
0.5,0.5,0.5
0.4166666666666667,0.4166666666666667,0.4166666666666667
0.6666666666666666,0.6666666666666666,0.6666666666666666
0.5454545454545454,0.5454545454545454,0.5454545454545454
0.5,0.5454545454545454,0.5217391304347826
0.5,0.6,0.5454545454545454
0.46153846153846156,0.5,0.48000000000000004
0.6,0.6428571428571429,0.6206896551724138
0.4,0.4,0.4000000000000001
0.36363636363636365,0.36363636363636365,0.36363636363636365
0.3076923076923077,0.3076923076923077,0.3076923076923077
0.5384615384615384,0.5384615384615384,0.5384615384615384
0.3333333333333333,0.36363636363636365,0.34782608695652173
0.6666666666666666,0.7142857142857143,0.689655172413793
0.45454545454545453,0.45454545454545453,0.45454545454545453
0.5384615384615384,0.5833333333333334,0.5599999999999999
0.46153846153846156,0.5,0.48000000000000004
0.3333333333333333,0.3333333333333333,0.3333333333333333
0.5,0.5,0.5
